name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_744,-0.287245,0.488829,-1.48109,0.991583,0.201584,-0.776074,6.31591,3.16029,1.32036,19.4435,9.4762,3.15562,0.328772
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_745,0.309167,0.448111,-0.910977,1.50348,0.757279,-0.138944,8.56462,2.96882,3.27562,20.5267,11.5334,5.59581,1.77214
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_747,-0.758326,0.480801,-1.81753,0.292083,-0.277526,-1.23913,9.23445,3.30258,2.8145,21.3694,12.537,5.93187,2.52242
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_748,-1.99902,0.542786,-3.24499,-0.60797,-1.45624,-2.54181,5.98869,3.5855,0.323627,20.6874,9.5742,2.40319,0.931597
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_749,0.167621,0.486635,-1.04208,1.29512,0.654256,-0.319014,10.0779,3.40538,4.25267,22.6257,13.4833,6.67251,2.95755
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_750,-1.3836,0.515855,-2.4963,-0.0479174,-0.867742,-1.89945,6.39957,3.62749,0.940959,21.4432,10.0271,2.77208,0.988877
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_751,-0.831945,0.515679,-2.42061,0.392593,-0.316266,-1.34762,9.23083,3.38222,3.12984,22.724,12.6131,5.84861,2.73725
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_752,-2.21905,0.497638,-3.53175,-1.07726,-1.72141,-2.71669,6.28298,3.81616,0.210245,21.7471,10.0991,2.46683,1.28751
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_753,-1.11589,0.527266,-2.68181,0.092159,-0.588625,-1.64316,8.00422,3.38894,2.82417,22.4066,11.3932,4.61527,2.73201
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_755,-1.46549,0.500886,-2.96967,-0.257034,-0.964603,-1.96637,9.16716,3.51113,2.75419,22.8426,12.6783,5.65603,3.01122
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_756,-2.67342,0.457151,-4.04424,-1.36201,-2.21627,-3.13057,6.30133,3.93198,-0.301268,21.9993,10.2333,2.36936,1.06074
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_757,-2.17998,0.500845,-3.38946,-1.04081,-1.67914,-2.68083,8.48103,3.61839,1.12449,22.6374,12.0994,4.86264,2.1653
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-05_1096,-11.4104,0.445543,-12.4831,-10.3456,-10.9648,-11.8559,-4546.51,53115.1,-650340,-13.2511,48568.6,-57661.7,0.767945
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-05_52738,-1.72508,0.502791,-2.88471,-0.166384,-1.22229,-2.22787,-4925,57848.4,-708295,-4.53183,52923.4,-62773.4,1.64712
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-05_52962,-15.6821,0.490587,-16.9172,-14.5584,-15.1915,-16.1727,-5335.97,62426.9,-764405,-19.4952,57091,-67762.9,2.57807
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-05_53089,-14.7615,0.514374,-16.3674,-13.4339,-14.2472,-15.2759,-5997.2,70326.5,-861178,-26.0941,64329.3,-76323.7,9.72675
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-06_1098,1.34087,0.471906,-0.0118441,2.55545,1.81277,0.86896,-166.874,1813.95,-22225.4,-0.463722,1647.07,-1980.82,0.451878
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-06_1099,1.83528,0.51133,0.365401,3.28219,2.34661,1.32395,-409.109,4485.02,-54945.9,-3.97786,4075.91,-4894.13,4.34326
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j12-06_1104,-8.53241,0.482433,-10.0067,-7.31206,-8.04998,-9.01485,-4529.58,52602.8,-644035,-14.2966,48073.2,-57132.4,4.28987
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1184,-3.41597,0.493521,-4.51955,-2.22043,-2.92245,-3.90949,-4335.37,52181.8,-639168,-28.6183,47846.5,-56517.2,24.0987
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1185,-6.53565,0.480155,-7.69879,-5.35157,-6.0555,-7.01581,-5898.83,70914.3,-868610,-37.6752,65015.5,-76813.2,29.9764
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1186,-20.8585,0.55684,-22.2625,-19.43,-20.3017,-21.4154,-6696.41,79503,-973848,-59.72,72806.5,-86199.4,37.4575
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1188,-20.8544,0.465412,-22.377,-19.7003,-20.3889,-21.3198,-7865.8,93446,-1.14452e+06,-38.9687,85580.2,-101312,16.5918
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1190,-16.0774,0.4948,-17.4196,-15.0889,-15.5826,-16.5722,-8861.65,104610,-1.28122e+06,-41.7733,95748.2,-113471,24.3536
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1191,-19.2998,0.48568,-20.6141,-17.8876,-18.8141,-19.7855,-9598.36,113168,-1.38601e+06,-55.4121,103569,-122766,34.798
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_1192,-3.50866,0.509463,-4.78551,-2.19728,-2.9992,-4.01813,-9165.36,108980,-1.33466e+06,-27.8057,99814.9,-118146,23.0202
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_52743,-8.13206,0.517711,-9.33319,-6.75156,-7.61435,-8.64977,-9849.91,116493,-1.42671e+06,-43.3179,106643,-126343,33.9847
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_52960,-12.1009,0.521638,-13.3446,-10.4092,-11.5793,-12.6225,-10252.9,121614,-1.4894e+06,-34.462,111361,-131867,21.1174
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_52975,-22.9469,0.531041,-24.3526,-21.5848,-22.4159,-23.4779,-10136.5,119444,-1.46289e+06,-63.2196,109307,-129580,38.867
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j13-05_53103,-21.0991,0.533101,-22.3699,-19.1313,-20.566,-21.6322,-10509.4,123915,-1.51765e+06,-70.5635,113406,-134425,48.1936
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-01_52979,-10.5984,0.451722,-12.1831,-9.55656,-10.1467,-11.0501,-4060.87,46873.3,-573705,-15.5132,42812.5,-50934.2,3.33013
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-01_53107,-14.0728,0.442032,-15.0087,-12.9006,-13.6308,-14.5149,-4428.5,51280.8,-627712,-20.7404,46852.3,-55709.3,5.73175
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-04_1371,-6.91508,0.469394,-8.02337,-5.91166,-6.44568,-7.38447,-22605,276188,-3.38265e+06,-8.21156,253583,-298793,0.188186
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1500,92.902,0.496759,91.821,94.1168,93.3988,92.4053,138.425,2.49462,130.011,148.092,140.919,135.93,35.8944
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1505,-25.9415,0.450216,-27.0553,-24.4578,-25.4913,-26.3917,-54.0031,8.99854,-93.1567,-28.7627,-45.0046,-63.0017,1.70743
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1507,-32.3059,0.466943,-33.3451,-31.115,-31.8389,-32.7728,-62.0448,10.8175,-133.597,-39.4382,-51.2273,-72.8623,6.09315
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1516,-6.90732,0.507385,-8.0663,-5.00754,-6.39993,-7.4147,0.846749,0.735834,-1.96868,3.4995,1.58258,0.110915,3.03886
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1524,-19.4629,0.478029,-20.7017,-18.1109,-18.9849,-19.941,-8.27956,2.67059,-17.4033,-3.05902,-5.60898,-10.9502,0.707568
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1533,-14.2645,0.524465,-15.4679,-12.8671,-13.74,-14.7889,-0.824044,2.26461,-11.9207,3.21238,1.44057,-3.08866,0.946385
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1534,-11.082,0.510472,-12.354,-9.89405,-10.5715,-11.5925,0.858704,1.16936,-4.7672,4.26687,2.02806,-0.310654,5.12685
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1535,-10.5457,0.510881,-11.6093,-8.96809,-10.0348,-11.0566,-1.9357,0.785623,-4.53991,0.116842,-1.15007,-2.72132,4.42818
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1546,-17.4242,0.487057,-18.7716,-16.2126,-16.9371,-17.9112,-7.5654,2.39485,-15.7767,-2.9304,-5.17054,-9.96025,0.43597
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-09_1555,-15.5387,0.538827,-16.8508,-13.9989,-14.9998,-16.0775,-6.11867,2.29448,-13.0009,-1.22486,-3.8242,-8.41315,0.997957
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1843,1.42199,0.459157,0.335216,2.55314,1.88115,0.962831,-13517.3,165402,-2.02577e+06,0.0828665,151885,-178919,0.25235
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1844,0.0416022,0.493326,-1.60994,1.05601,0.534929,-0.451724,-14190.5,173587,-2.12601e+06,-2.36153,159396,-187777,0.751589
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1845,-1.83222,0.520207,-3.02233,-0.332557,-1.31201,-2.35242,-15178.7,185618,-2.27337e+06,-4.88849,170439,-200796,1.86616
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1846,-2.79241,0.507636,-3.96809,-1.73963,-2.28477,-3.30005,-15838.4,193674,-2.37203e+06,-6.61181,177835,-209512,2.64372
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1847,-3.9679,0.508742,-5.34239,-2.82972,-3.45916,-4.47664,-16806.7,205515,-2.51706e+06,-8.88205,188708,-222322,3.53966
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1852,4.47545,0.501694,3.33187,5.63571,4.97715,3.97376,-21023.9,257477,-3.15344e+06,2.41313,236453,-278501,0.918737
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1853,3.85168,0.540546,2.30494,5.1532,4.39223,3.31114,-21720.5,265960,-3.25734e+06,1.73424,244240,-287681,0.570699
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1854,-0.657508,0.487125,-2.0686,0.584435,-0.170383,-1.14463,-23999.6,293650,-3.59648e+06,-4.99803,269650,-317649,2.92943
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1855,3.25737,0.522935,1.82643,4.87029,3.7803,2.73443,-28568.5,349866,-4.28497e+06,0.439552,321298,-378435,1.38688
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1856,-0.390931,0.499582,-1.78678,0.636099,0.108651,-0.890513,-30898.1,378211,-4.63214e+06,-3.55777,347313,-409109,1.77099
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1857,-3.78435,0.532898,-5.28915,-2.21885,-3.25145,-4.31725,-32382.7,396253,-4.85312e+06,-9.56482,363871,-428636,4.27567
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k13-12_1861,-0.142769,0.522652,-1.562,1.3967,0.379883,-0.66542,-39370.9,481959,-5.90279e+06,-3.40675,442588,-521330,1.84475
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k14-02_1951,-5.58728,0.455405,-6.87158,-4.46525,-5.13187,-6.04268,-5395.92,65927.3,-807455,-6.90197,60531.4,-71323.3,0.0303883
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k14-03_1968,-7.4055,0.469575,-8.59857,-6.25993,-6.93593,-7.87508,-5297.46,64459.8,-789503,-10.0134,59162.4,-69757.3,1.41483
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k14-04_1987,-14.7915,0.551478,-16.2993,-13.5648,-14.24,-15.3429,-31951.9,387629,-4.74766e+06,-17.5856,355677,-419581,1.28634
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:k14-04_1990,-7.57872,0.522264,-8.70184,-5.95656,-7.05645,-8.10098,-2935.49,35421,-433861,-15.4994,32485.5,-38356.5,6.79751
